"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,uk_eng_eq5d5l_redcap_selfcomplete,,text,"Record ID",,,,,,,,,,,,,
eq5d5l_cover_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete,,descriptive,"<div class=""rich-text-field-label""><div style=""font-size: 13.5pt; text-align: center;""><span style=""text-align: center;""><b>Health Questionnaire</b><br /><br /><b>English version for the UK</b><br /><br /><br /><b>VERSION FOR INTERVIEWER ADMINISTRATION </b></span></div> <p style=""text-align: center;""><span style=""font-weight: normal;""></span></p> <p> </p></div>",,,,,,,,,,,,,
eq5d5l_copy0_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete,,descriptive,"<div style=""font-size: 9pt;""><span style=""font-weight: normal;""><i>© EuroQol Research Foundation. EQ-5D™ is a trade mark of the EuroQol Research Foundation. UK (English) v1.2</i></span></div>",,,,,,,,,,,,,
eq5d5l_note_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete," ",descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;""><i>Note to interviewer: although allowance should be made for the interviewer's particular style of speaking, the wording of the questionnaire instructions should be followed as closely as possible. In the case of the EQ-5D-5L descriptive system of the questionnaire, the precise wording must be followed.</i><br /><br /><i>If the respondent has difficulty choosing a response or asks for clarification, the interviewer should repeat the question word for word and ask the respondent to answer in a way that most closely resembles his or her thoughts about his or her health today.</i></span></p></div><br />",,,,,,,,,,,,,
eq5d5l_copy1_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete,,descriptive,"<div style=""font-size: 9pt;""><span style=""font-weight: normal;""><i>© EuroQol Research Foundation. EQ-5D™ is a trade mark of the EuroQol Research Foundation. UK (English) v1.2</i></span></div>",,,,,,,,,,,,,
eq5d5l_intro_ds_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete," ",descriptive,"<div class=""rich-text-field-label""><p><b>INTRODUCTION</b><br /><br /><span style=""font-weight: normal;""><i>(Note to interviewer: please read the following to the respondent.)</i></span><br /><br /><b>We are trying to find out what you think about your health. I will explain what to do as I go along, but please interrupt me if you do not understand something or if things are not clear to you. There are no right or wrong answers. We are interested only in your personal view.</b><br /><br /><b>First, I am going to read out some questions. Each question has a choice of five answers. Please tell me which answer best describes your health TODAY.</b><br /><br /><b>Do not choose more than one answer in each group of questions.</b><br /><br /><span style=""font-weight: normal;""><i>(Note to interviewer: first read all five options for each question. Then ask the respondent to choose which one applies to him/herself. Repeat the question and options if necessary. Mark the appropriate box under each heading. You may need to remind the respondent regularly that the timeframe is TODAY.) </i></span></p></div><br />",,,,,,,,,,,,,
eq5d5l_copy2_uk,uk_eng_eq5d5l_redcap_selfcomplete,,descriptive,"<div style=""font-size: 9pt;""><span style=""font-weight: normal;""><i>© EuroQol Research Foundation. EQ-5D™ is a trade mark of the EuroQol Research Foundation. UK (English) v1.2</i></span></div>",,,,,,,,,,,,,
eq5d5l_ia_sc_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete," ",descriptive,"<br /><br /><div style=""font-size: 13.5pt; text-align: center;""><span style=""text-align: center;""><b>EQ-5D DESCRIPTIVE SYSTEM </b></span></div><br /><br /><br />",,,,,,,,,,,,,
eq5d5l_copy3_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete,,descriptive,"<div style=""font-size: 9pt;""><span style=""font-weight: normal;""><i>© EuroQol Research Foundation. EQ-5D™ is a trade mark of the EuroQol Research Foundation. UK (English) v1.2</i></span></div>",,,,,,,,,,,,,
eq5d_mb_5l_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete," ",radio,"<b>First, I would like to ask you about MOBILITY. Would you say that:</b>","1, You have <u>no</u> problems in walking about?                                                             | 2, You have <u>slight</u> problems in walking about?                                                       | 3, You have <u>moderate</u> problems in walking about?                                               | 4, You have <u>severe</u> problems in walking about?                                                     | 5, You are <u>unable to</u> walk about?",,,,,,,y,LV,,,,
eq5d5l_copy4_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete,,descriptive,"<div style=""font-size: 9pt;""><span style=""font-weight: normal;""><i>© EuroQol Research Foundation. EQ-5D™ is a trade mark of the EuroQol Research Foundation. UK (English) v1.2</i></span></div>",,,,,,,,,,,,,
eq5d_sc_5l_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete," ",radio,"<b>Next, I would like to ask you about SELF-CARE. Would you say that:</b>","1, You have <u>no</u> problems washing or dressing yourself?                                    | 2, You have <u>slight</u> problems washing or dressing yourself? | 3, You have <u>moderate</u> problems washing or dressing yourself? | 4, You have <u>severe</u> problems washing or dressing yourself? | 5, You are <u>unable to</u> wash or dress yourself?",,,,,,,y,LV,,,,
eq5d5l_copy5_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete,,descriptive,"<div style=""font-size: 9pt;""><span style=""font-weight: normal;""><i>© EuroQol Research Foundation. EQ-5D™ is a trade mark of the EuroQol Research Foundation. UK (English) v1.2</i></span></div>",,,,,,,,,,,,,
eq5d_ua_5l_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete," ",radio,"<b>Next, I would like to ask you about USUAL ACTIVITIES, for example, work, study, housework, family or leisure activities. Would you say that:</b>","1, You have <u>no</u> problems doing your usual activities? | 2, You have <u>slight</u> problems doing your usual activities? | 3, You have <u>moderate</u> problems doing your usual activities? | 4, You have <u>severe</u> problems doing your usual activities? | 5, You are <u>unable to</u> do your usual activities?",,,,,,,y,LV,,,,
eq5d5l_copy6_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete,,descriptive,"<div style=""font-size: 9pt;""><span style=""font-weight: normal;""><i>© EuroQol Research Foundation. EQ-5D™ is a trade mark of the EuroQol Research Foundation. UK (English) v1.2</i></span></div>",,,,,,,,,,,,,
eq5d_pd_5l_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete," ",radio,"<b>Next, I would like to ask you about PAIN OR DISCOMFORT. Would you say that:</b>","1, You have <u>no</u> pain or discomfort?  | 2, You have <u>slight</u> pain or discomfort? | 3, You have <u>moderate</u> pain or discomfort? | 4, You have <u>severe</u> pain or discomfort?  | 5, You have <u>extreme</u> pain or discomfort?",,,,,,,y,LV,,,,
eq5d5l_copy7_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete,,descriptive,"<div style=""font-size: 9pt;""><span style=""font-weight: normal;""><i>© EuroQol Research Foundation. EQ-5D™ is a trade mark of the EuroQol Research Foundation. UK (English) v1.2</i></span></div>",,,,,,,,,,,,,
eq5d_ad_5l_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete," ",radio,"<b>Finally, I would like to ask you about ANXIETY OR DEPRESSION. Would you say that:</b>","1, You are <u>not</u> anxious or depressed? | 2, You are <u>slightly</u> anxious or depressed? | 3, You are <u>moderately</u> anxious or depressed? | 4, You are <u>severely</u> anxious or depressed? | 5, You are <u>extremely</u> anxious or depressed?",,,,,,,y,LV,,,,
eq5d5l_copy8_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete,,descriptive,"<div style=""font-size: 9pt;""><span style=""font-weight: normal;""><i>© EuroQol Research Foundation. EQ-5D™ is a trade mark of the EuroQol Research Foundation. UK (English) v1.2</i></span></div>",,,,,,,,,,,,,
eq5d5l_ia_vas_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete," ",descriptive,"<br /><br /><div style=""font-size: 13.5pt; text-align: center;""><span style=""text-align: center;""><b>EQ-5D VAS</b></span></div><br /><br /><br />",,,,,,,,,,,,,
eq5d5l_copy9_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete,,descriptive,"<div style=""font-size: 9pt;""><span style=""font-weight: normal;""><i>© EuroQol Research Foundation. EQ-5D™ is a trade mark of the EuroQol Research Foundation. UK (English) v1.2</i></span></div>",,,,,,,,,,,,,
eq5d5l_introvas_uk_eng,uk_eng_eq5d5l_redcap_selfcomplete," ",descriptive,"<div class=""rich-text-field-label""><p> </p> <ul> <li><span style=""font-weight: normal;""><b>Now, I would like to ask you to say how good or bad your health is TODAY.</b></span></li> </ul> <p> </p> <ul> <li><span style=""font-weight: normal;""><b>I would like you to picture in your mind a vertical line that is numbered from 0 to 100.</b></span><br /><span style=""font-weight: normal;""><em><i>(Note to interviewer: if interviewing face-to-face, please show the respondent the VAS line.)</i></em></span></li> </ul> <p> </p> <ul> <li><span style=""font-weight: normal;""><b>100 at the top of the line means the <u>best</u> health you can imagine.</b></span><br /><span style=""font-weight: normal;""><b>0 at the bottom of the line means the <u>worst</u> health you can imagine.</b></span></li> </ul></div>",,,,,,,,,,,,,
