"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,screening,,text,"Record ID",,,,,,,,,,,,,
hospital_id,screening,,text,"Hospital ID",,,number,100,999,,,y,,,,,
date_time_screening,screening,,text,"Date and time of screening",,,datetime_dmy,,,,,y,,,,,
age_inclusion_criterion,screening,"Inclusion criteria",yesno,"Is the patient at least 15 years old?",,,,,,,,y,,,,,
mechanism_inclusion_criterion,screening,,yesno,"Did the patient present with a history of trauma defined as having any of the reasons listed in the International Classification of Diseases chapter XX as the reason for presenting?",,"Please see https://icd.who.int/browse10/2019/en#/XX for a complete list of ICD-10 codes",,,,,,y,,,,,
delay_inclusion_criterion,screening,,yesno,"Did the trauma occur less than 48 hours before arrival to the hospital?",,,,,,,,y,,,,,
admission_inlcusion_criterion,screening,,yesno,"Was the patient admitted, died before admission, or transferred to another hospital for admission?",,,,,,,,y,,,,,
limb_exclusion_criterion,screening,"Exclusion criteria",yesno,"Did the patient present with isolated limb injury?",,,,,,,"[age_inclusion_criterion] = '1' and [mechanism_inclusion_criterion] = '1' and [delay_inclusion_criterion] = '1' and [admission_inlcusion_criterion] = '1'",y,,,,,
ward_exclusion_criterion,screening,,yesno,"Was the patient directly admitted to a ward without being seen by a physician in the emergency department?",,,,,,,"[age_inclusion_criterion] = '1' and [mechanism_inclusion_criterion] = '1' and [delay_inclusion_criterion] = '1' and [admission_inlcusion_criterion] = '1'",y,,,,,
phone_numbers,screening,"The patient is eligible for inclusion",notes,"Phone numbers to patient and patient representative",,"Collect as many phone numbers as possible",,,,y,"[age_inclusion_criterion] = '1' and [mechanism_inclusion_criterion] = '1' and [delay_inclusion_criterion] = '1' and [admission_inlcusion_criterion] = '1' and [limb_exclusion_criterion] = '0' and [ward_exclusion_criterion] = '0'",y,,,,,
