#options: 1920x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1778 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:31.83 aq:17.81 tex:557295 mv:101933 misc:6236 imb:8160 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:33.91 aq:27.26 tex:3226 mv:514 misc:652 imb:53 pmb:53 smb:8054 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:33.91 aq:37.06 tex:376 mv:75 misc:429 imb:3 pmb:5 smb:8152 d:- ref:0 ;
in:4 out:3 type:P dur:2 cpbdur:2 q:33.68 aq:26.99 tex:10290 mv:1603 misc:691 imb:202 pmb:60 smb:7898 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:33.79 aq:22.33 tex:4024 mv:1213 misc:683 imb:42 pmb:101 smb:8017 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:33.45 aq:26.26 tex:14682 mv:2130 misc:844 imb:164 pmb:96 smb:7900 d:- ref:0 ;
in:8 out:6 type:P dur:2 cpbdur:2 q:33.35 aq:23.46 tex:36850 mv:4457 misc:933 imb:546 pmb:159 smb:7455 d:- ref:0 ;
in:6 out:7 type:B dur:2 cpbdur:2 q:33.42 aq:32.67 tex:13188 mv:3027 misc:1097 imb:73 pmb:241 smb:7846 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:33.38 aq:35.39 tex:12573 mv:3410 misc:1161 imb:71 pmb:263 smb:7826 d:- ref:0 ;
in:10 out:9 type:P dur:2 cpbdur:2 q:33.07 aq:26.45 tex:43758 mv:6146 misc:1312 imb:647 pmb:247 smb:7266 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:33.21 aq:33.99 tex:5464 mv:3884 misc:1452 imb:48 pmb:383 smb:7729 d:- ref:0 ;
in:12 out:11 type:P dur:2 cpbdur:2 q:32.92 aq:32.25 tex:62724 mv:7426 misc:1474 imb:832 pmb:258 smb:7070 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:33.00 aq:32.15 tex:7511 mv:4598 misc:1731 imb:69 pmb:480 smb:7611 d:- ref:0 ;
in:14 out:13 type:P dur:2 cpbdur:2 q:32.82 aq:30.00 tex:65111 mv:8768 misc:1681 imb:923 pmb:333 smb:6904 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:32.87 aq:33.41 tex:9733 mv:5328 misc:1995 imb:79 pmb:523 smb:7558 d:- ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:36.82 aq:33.92 tex:44148 mv:8833 misc:1555 imb:1026 pmb:307 smb:6827 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:34.82 aq:34.39 tex:6994 mv:5582 misc:2088 imb:75 pmb:577 smb:7508 d:- ref:0 ;
