"xtmp","power_x","power_x_l","power_x_u","power_x_cl","power_x_cu","precision_x","precision_x_l","precision_x_u","precision_x_cl","precision_x_cu","no_clusters_x","no_clusters_l","no_clusters_u","no_clusters_cl","no_clusters_cu"
1,0.204538319761512,0.205217884689241,0.203383711133103,0.204787987706643,0.204413985287137,514.785592211706,516.95932089922,511.093005063347,515.584172689746,514.38791432878,1,1,1,1,1
2,0.353571879641786,0.358107726055408,0.344249793439649,0.354109967705176,0.353334438421937,1003.96346312084,1019.45160834864,972.282090984209,1005.79827788116,1003.15403335071,1,1,1,1,1
3,0.483662177154973,0.493078752501975,0.464151675758435,0.484210470098016,0.483478369443991,1473.02391161946,1509.49984686361,1398.73649933653,1475.13630786861,1472.31607198909,1,1,1,1,1
4,0.592477949500738,0.606310354143942,0.563472494091532,0.592759764135552,0.592494033811731,1925.25752364417,1988.58787833295,1797.32446249578,1926.53205063152,1925.3302489212,1,1,1,1,1
5,0.680997643450176,0.69807333435292,0.644456927225048,0.680852332458057,0.68128672901986,2362.84334693993,2457.84167588515,2172.23433672222,2362.05238437977,2364.41775338518,1,1,1,1,1
6,0.751683702412721,0.7706614335174,0.709944370861589,0.75106909528127,0.752251899824219,2787.33659386455,2918.14069355391,2526.4419455038,2783.24167154217,2791.12979577894,1,1,1,1,1
7,0.807419069591559,0.827083457264204,0.762706218177788,0.806376104090546,0.80822871065031,3199.91309117505,3370.18912815021,2862.24731735335,3191.30822687923,3206.62061578387,1,1,1,1,1
8,0.850983796445092,0.870370340839566,0.805183545070247,0.849598161008779,0.851975920328136,3601.50271710251,3814.5631477867,3181.5178425802,3587.23243034597,3611.79240219098,1,1,1,1,1
9,0.884831843679151,0.903251878169667,0.839419845383123,0.883204615774026,0.885942500355971,3992.86732519517,4251.7431499468,3485.81672435443,3971.83301494298,4007.37806599989,1,1,1,1,1
10,0.911024765179522,0.928039321923064,0.867079046518563,0.909253759830183,0.912194875850308,4374.648820741,4682.1363803489,3776.47920042209,4345.80965494263,4393.99138581761,1,1,1,1,1
11,0.931241998478765,0.946614994833952,0.889495101549311,0.929411856963519,0.932422217280032,4747.40021444683,5106.09316300678,4054.66198983397,4709.77143946912,4772.15890189189,1,1,1,1,1
12,0.946824185006387,0.960471974334203,0.907728343485688,0.945002490442561,0.947976431026564,5111.60648009936,5523.91878642911,4321.37763261315,5064.25657731771,5142.34105385041,1,1,1,1,1
13,0.958826759993836,0.970772485562079,0.922618075587789,0.957063825878283,0.959923793083445,5467.6990467275,5935.88236872288,4577.51960573574,5409.74645245054,5504.94669561961,1,1,1,1,1
14,0.968072642565495,0.978408722054256,0.934827702511057,0.966403257289038,0.969096655734631,5816.0661725672,6342.22357864253,4823.88142891736,5746.67592258133,5860.34337727242,1,1,1,1,1
15,0.975199155181353,0.984058430032911,0.944881813788967,0.973645157741543,0.976140005551944,6157.06057067162,6743.15780711952,5061.17163966357,6075.44104838221,6208.86483213969,1,1,1,1,1
16,0.980697600660234,0.988232325238572,0.953195916946611,0.979270615773075,0.981551040024333,6491.00514934509,7138.88020041828,5290.02580358417,6396.40502101798,6550.81656548384,1,1,1,1,1
17,0.984945551607293,0.991312869854723,0.960099940198719,0.983649524024731,0.985711641539006,6818.19742740587,7529.5688444245,5511.01632102882,6709.90279758236,6886.48012047779,1,1,1,1,1
18,0.988232623233438,0.993585101002356,0.965856659848716,0.987065989358125,0.988914409634919,7138.91299710845,7915.38730729298,5724.66054886519,7016.24479076867,7216.11640136853,1,1,1,1,1
19,0.99078073876819,0.9952606559569,0.970676086728963,0.989738190865026,0.99138319712949,7453.40828875492,8296.4866910281,5931.42760439462,7315.7198532334,7539.96831053885,1,1,1,1,1
20,0.992759898327831,0.996496223575112,0.974726678309648,0.991833759986013,0.993289127846627,7761.92281373421,8673.00730291343,6131.74411922359,7608.59772687645,7858.26287672054,1,1,1,1,1
21,0.994300358767566,0.997407560043343,0.978144076696909,0.99348161995826,0.994762989127086,8064.68101131366,9045.08002953774,6325.99914372145,7895.13107969938,8171.21299916284,1,1,1,1,1
22,0.99550199290522,0.998080046116477,0.981037926397854,0.994781062878096,0.995904764005461,8361.8937896133,9412.82747586761,6514.54835569815,8175.55722008929,8479.01889721337,1,1,1,1,1
23,0.996441455905639,0.998576587762306,0.983497204435037,0.995808691278172,0.996790933074025,8653.75982707077,9776.3649170119,6697.71769313739,8450.09955534294,8781.86933049642,1,1,1,1,1
24,0.997177659910925,0.998943498956598,0.98559439813614,0.99662371919277,0.997480051959336,8940.46668374916,10135.8010993924,6875.80650591909,8718.96884482399,9079.94263791687,1,1,1,1,1
25,0.997755950538248,0.999214864876893,0.987388789464398,0.997272018263226,0.998017003678587,9222.19175973406,10491.2389198762,7049.09030273524,8982.36428626371,9373.40763168334,1,1,1,1,1
26,0.998211291009181,0.999415768267719,0.988929045359973,0.997789206412722,0.998436237122069,9499.10312909848,10842.7760052734,7217.82315505571,9240.47446499854,9662.42437387594,1,1,1,1,1
27,0.998570689547876,0.999564669696492,0.990255267752389,0.998203007219177,0.998764232161336,9771.36027148031,11190.5052099219,7382.23980884514,9493.47818946631,9947.14485675626,1,1,1,1,1
28,0.998855050621897,0.999675160586524,0.991400621712901,0.998535054139877,0.999021376036598,10039.1147185327,11534.51504548,7542.55754593421,9741.54523141444,10227.7136033355,1,1,1,1,1
29,0.99908058785861,0.999757252723174,0.992392633232147,0.998802272158613,0.999223392150986,10302.5106289122,11874.8900542673,7698.97782993631,9984.83698557301,10504.2682012196,1,1,1,1,1
30,0.999259903564976,0.999818326015265,0.993254227425641,0.99901793760016,0.999382428784922,10561.6853027353,12211.7111353137,7851.6877659467,10223.5070607049,10776.9397800931,1,1,1,1,1
31,0.999402814593576,0.999863824743523,0.994004562105212,0.999192492607976,0.999507889455432,10816.7696443319,12545.0558305699,8000.86139866901,10457.7018117368,11045.8534411846,1,1,1,1,1
32,0.999516985100851,0.999897768940463,0.994659699467961,0.999334172360166,0.999607066955556,11067.8885804928,12874.9985773776,8146.66086985097,10687.5608209483,11311.1286454821,1,1,1,1,1
33,0.999608412152541,0.999923130005687,0.995233149273941,0.999449489130856,0.999685628126938,11315.1614401334,13201.6109322143,8289.23745280325,10913.217334828,11572.8795662506,1,1,1,1,1
34,0.99968179906144,0.999942106670761,0.995736309645817,0.999543606722999,0.999747985045593,11558.7023002832,13524.9617698694,8428.7324792006,11134.7986621171,11831.2154104399,1,1,1,1,1
35,0.999740842953192,0.999956327838991,0.996178826023666,0.999620630785122,0.999797579680724,11798.6203025064,13845.1174614998,8565.27817120967,11352.4265376837,12086.2407128057,1,1,1,1,1
36,0.999788456700797,0.999967001764657,0.996568884462426,0.999683834454131,0.999837102558735,12035.0199432119,14162.1420344549,8698.998390182,11566.2174561624,12338.055605957,1,1,1,1,1
37,0.999826940554371,0.999975025846758,0.996913452076903,0.999735834164507,0.999868661023155,12268.0013407854,14476.0973162926,8830.00931162722,11776.2829787122,12586.7560690459,1,1,1,1,1
38,0.999858115144358,0.999981067503404,0.997218474797909,0.999778726972271,0.999893908940583,12497.6604820486,14787.0430650314,8958.42003489157,11982.7300157707,12832.4341574174,1,1,1,1,1
39,0.999883424769534,0.999985623800131,0.997489040533821,0.999814198088744,0.999914146869856,12724.0894501978,15095.0370873706,9084.33313486992,12185.6610882863,13075.178215202,1,1,1,1,1
40,0.999904017780662,0.999989065458728,0.99772951420549,0.999843605299958,0.99993039956501,12947.3766360829,15400.1353463523,9207.84516214308,12385.1745695832,13315.0730725686,1,1,1,1,1
41,0.999920809274219,0.999991669373898,0.997943649839966,0.999868045408322,0.999943476054348,13167.606934444,15702.3920597242,9329.0470971308,12581.3649097364,13552.2002291213,1,1,1,1,1
42,0.999934530095537,0.999993642666839,0.998134683893811,0.999888406657672,0.999954016301703,13384.8619265188,16001.8597900802,9448.02476316246,12774.3228441022,13786.6380247399,1,1,1,1,1
43,0.999945765224515,0.999995140500257,0.998305413171508,0.999905410203226,0.999962527516125,13599.2200502626,16298.5895277108,9564.85920277311,12964.135587452,14018.4617990036,1,1,1,1,1
44,0.999954983909958,0.999996279289686,0.998458260063141,0.999919642998265,0.999969412460855,13810.756759275,16592.6307669622,9679.62702102028,13150.8870149891,14247.7440401993,1,1,1,1,1
45,0.999962563377732,0.999997146513744,0.998595327313261,0.999931583939272,0.999974991566986,14019.5446714041,16884.0315768012,9792.40069917121,13334.6578313841,14474.5545248054,1,1,1,1,1
46,0.99996880752359,0.999997808008737,0.998718444122387,0.999941624703085,0.999979520240846,14225.6537078912,17172.8386661894,9903.24888172702,13515.5257288393,14698.9604482393,1,1,1,1,1
47,0.999973961683444,0.999998313400272,0.998829205052563,0.999950086394552,0.999983202435657,14429.1512238249,17459.0974447939,10012.2366394085,13693.5655350867,14921.026547576,1,1,1,1,1
48,0.99997822432922,0.999998700153375,0.998929002942406,0.999957232879418,0.999986201314065,14630.1021305982,17742.8520794977,10119.4257104405,13868.8493521279,15140.815216867,1,1,1,1,1
49,0.99998175634995,0.999998996596867,0.99901905682191,0.999963281488212,0.999988647640991,14828.5690109866,18024.1455471116,10224.87472221,14041.4466864463,15358.3866156313,1,1,1,1,1
50,0.999984688432195,0.999999224185051,0.999100435642795,0.999968411630004,0.999990646402332,15024.6122274071,18303.0196836468,10328.6393951504,14211.424571347,15573.7987710259,1,1,1,1,1
