"cluster","batch","sequence","site_id","site_name","standard_care_start","standard_care_end","transition_start","transition_end","intervention_start","intervention_end"
1,1,1,"B1S1",,"2025-02-01","2025-06-01","2025-06-01","2025-07-01","2025-07-01","2026-03-01"
2,1,2,"B1S2",,"2025-02-01","2025-07-01","2025-07-01","2025-08-01","2025-08-01","2026-03-01"
3,1,3,"B1S3",,"2025-02-01","2025-08-01","2025-08-01","2025-09-01","2025-09-01","2026-03-01"
4,1,4,"B1S4",,"2025-02-01","2025-09-01","2025-09-01","2025-10-01","2025-10-01","2026-03-01"
5,1,5,"B1S5",,"2025-02-01","2025-10-01","2025-10-01","2025-11-01","2025-11-01","2026-03-01"
6,2,1,"B2S1",,"2025-09-01","2026-01-01","2026-01-01","2026-02-01","2026-02-01","2026-10-01"
7,2,2,"B2S2",,"2025-09-01","2026-02-01","2026-02-01","2026-03-01","2026-03-01","2026-10-01"
8,2,3,"B2S3",,"2025-09-01","2026-03-01","2026-03-01","2026-04-01","2026-04-01","2026-10-01"
9,2,4,"B2S4",,"2025-09-01","2026-04-01","2026-04-01","2026-05-01","2026-05-01","2026-10-01"
10,2,5,"B2S5",,"2025-09-01","2026-05-01","2026-05-01","2026-06-01","2026-06-01","2026-10-01"
11,3,1,"B3S1",,"2026-04-01","2026-08-01","2026-08-01","2026-09-01","2026-09-01","2027-05-01"
12,3,2,"B3S2",,"2026-04-01","2026-09-01","2026-09-01","2026-10-01","2026-10-01","2027-05-01"
13,3,3,"B3S3",,"2026-04-01","2026-10-01","2026-10-01","2026-11-01","2026-11-01","2027-05-01"
14,3,4,"B3S4",,"2026-04-01","2026-11-01","2026-11-01","2026-12-01","2026-12-01","2027-05-01"
15,3,5,"B3S5",,"2026-04-01","2026-12-01","2026-12-01","2027-01-01","2027-01-01","2027-05-01"
16,4,1,"B4S1",,"2026-11-01","2027-03-01","2027-03-01","2027-04-01","2027-04-01","2027-12-01"
17,4,2,"B4S2",,"2026-11-01","2027-04-01","2027-04-01","2027-05-01","2027-05-01","2027-12-01"
18,4,3,"B4S3",,"2026-11-01","2027-05-01","2027-05-01","2027-06-01","2027-06-01","2027-12-01"
19,4,4,"B4S4",,"2026-11-01","2027-06-01","2027-06-01","2027-07-01","2027-07-01","2027-12-01"
20,4,5,"B4S5",,"2026-11-01","2027-07-01","2027-07-01","2027-08-01","2027-08-01","2027-12-01"
21,5,1,"B5S1",,"2027-06-01","2027-10-01","2027-10-01","2027-11-01","2027-11-01","2028-07-01"
22,5,2,"B5S2",,"2027-06-01","2027-11-01","2027-11-01","2027-12-01","2027-12-01","2028-07-01"
23,5,3,"B5S3",,"2027-06-01","2027-12-01","2027-12-01","2028-01-01","2028-01-01","2028-07-01"
24,5,4,"B5S4",,"2027-06-01","2028-01-01","2028-01-01","2028-02-01","2028-02-01","2028-07-01"
25,5,5,"B5S5",,"2027-06-01","2028-02-01","2028-02-01","2028-03-01","2028-03-01","2028-07-01"
26,6,1,"B6S1",,"2028-01-01","2028-05-01","2028-05-01","2028-06-01","2028-06-01","2029-02-01"
27,6,2,"B6S2",,"2028-01-01","2028-06-01","2028-06-01","2028-07-01","2028-07-01","2029-02-01"
28,6,3,"B6S3",,"2028-01-01","2028-07-01","2028-07-01","2028-08-01","2028-08-01","2029-02-01"
29,6,4,"B6S4",,"2028-01-01","2028-08-01","2028-08-01","2028-09-01","2028-09-01","2029-02-01"
30,6,5,"B6S5",,"2028-01-01","2028-09-01","2028-09-01","2028-10-01","2028-10-01","2029-02-01"
