"site_id","cluster","training_start","training_end"
"B1S1",1,"2025-05-12","2025-05-14"
"B1S1",1,"2025-05-29","2025-05-31"
"B1S2",2,"2025-06-28","2025-06-30"
"B1S3",3,"2025-07-29","2025-07-31"
"B1S4",4,"2025-08-29","2025-08-31"
"B1S5",5,"2025-09-28","2025-09-30"
"B2S1",6,"2025-12-29","2025-12-31"
"B2S2",7,"2026-01-29","2026-01-31"
"B2S3",8,"2026-02-26","2026-02-28"
"B2S4",9,"2026-03-29","2026-03-31"
"B2S5",10,"2026-04-28","2026-04-30"
"B3S1",11,"2026-07-29","2026-07-31"
"B3S2",12,"2026-08-29","2026-08-31"
"B3S3",13,"2026-09-28","2026-09-30"
"B3S4",14,"2026-10-29","2026-10-31"
"B3S5",15,"2026-11-28","2026-11-30"
"B4S1",16,"2027-02-26","2027-02-28"
"B4S2",17,"2027-03-29","2027-03-31"
"B4S3",18,"2027-04-28","2027-04-30"
"B4S4",19,"2027-05-29","2027-05-31"
"B4S5",20,"2027-06-28","2027-06-30"
"B5S1",21,"2027-09-28","2027-09-30"
"B5S2",22,"2027-10-29","2027-10-31"
"B5S3",23,"2027-11-28","2027-11-30"
"B5S4",24,"2027-12-29","2027-12-31"
"B5S5",25,"2028-01-29","2028-01-31"
"B6S1",26,"2028-04-28","2028-04-30"
"B6S2",27,"2028-05-29","2028-05-31"
"B6S3",28,"2028-06-28","2028-06-30"
"B6S4",29,"2028-07-29","2028-07-31"
"B6S5",30,"2028-08-29","2028-08-31"
